US_CPI,date,US LT (20Y) Corporate Bonds (TR),US LT (20Y) Government Bonds (TR),US Intermediate-term (5Y) Government Bonds (TR),US (30-Day) Treasury Bills,AUSTRALIA Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),GERMANY Standard (Large+Mid Cap),HONG KONG Standard (Large+Mid Cap),JAPAN Standard (Large+Mid Cap),UNITED KINGDOM Standard (Large+Mid Cap),Gold Return,CANADA Standard (Large+Mid Cap),US Large-Cap Stocks (TR),US Small-Cap Stocks (TR)
0.0618,1970-01-01,0.0141,-0.0021,0.003,0.006,-0.0313,-0.0087,-0.0484,0.0552,-0.0158,-0.0074,-0.006,0.0245,-0.0743,-0.0608
0.0615,1970-02-01,0.0401,0.0587,0.0439,0.0062,-0.0115,-0.0311,-0.0293,0.0707,0.0123,-0.0536,0.0009,0.0444,0.0558,0.0387
0.0582,1970-03-01,-0.0045,-0.0068,0.0087,0.0057,-0.0034,0.0126,0.0088,0.0406,0.0406,0.0245,0.008,0.0102,0.0044,-0.0285
0.0606,1970-04-01,-0.025,-0.0413,-0.0207,0.005,-0.11199999999999999,-0.0736,-0.0462,0.0042,-0.1211,-0.1023,0.0156,-0.1143,-0.0875,-0.1728
0.0604,1970-05-01,-0.0163,-0.0468,0.011000000000000001,0.0053,-0.0648,-0.0535,-0.0939,-0.0276,-0.0266,-0.0504,-0.0112,-0.095,-0.0578,-0.1031
0.0601,1970-06-01,0.0001,0.0486,0.0061,0.0058,0.1292,0.0117,-0.0369,0.0485,0.0183,0.045,0.0011,0.0503,-0.0466,-0.0929
0.0598,1970-07-01,0.0556,0.0319,0.0152,0.0052,0.0319,0.0474,0.0609,0.0725,0.0021,0.037000000000000005,-0.0054,0.0716,0.0769,0.0554
0.0541,1970-08-01,0.01,-0.0019,0.0116,0.0053,-0.0078,0.0074,0.0117,0.0422,-0.0107,-0.0025,0.0142,0.0454,0.0478,0.0949
0.0566,1970-09-01,0.0139,0.0228,0.0196,0.0054,0.0013,0.0108,-0.0163,-0.0167,-0.0115,0.0583,0.0168,0.0652,0.0362,0.1086
0.0563,1970-10-01,-0.0096,-0.0109,0.0095,0.0046,-0.0917,-0.0053,-0.015,-0.0292,0.0129,-0.0025,0.0234,-0.0139,-0.0083,-0.0706
0.055999999999999994,1970-11-01,0.0584,0.0791,0.0451,0.0046,-0.049,-0.0459,-0.0363,0.0456,-0.0288,-0.0686,0.0078,0.0476,0.0506,0.0137
0.0557,1970-12-01,0.0372,-0.0084,0.0054,0.0042,0.0123,0.0233,-0.0301,0.075,0.008,0.0623,-0.0043,0.027000000000000003,0.0597,0.0726
0.0529,1971-01-01,0.0532,0.0506,0.0168,0.0038,-0.0226,0.0424,0.1435,0.049,0.0548,0.0028,0.0179,0.033,0.0432,0.1592
0.05,1971-02-01,-0.0366,-0.0163,0.0224,0.0033,-0.0187,0.0029,0.0426,-0.0486,0.046,-0.0184,0.0197,-0.0016,0.0117,0.0317
0.0471,1971-03-01,0.0258,0.0526,0.0186,0.003,0.0551,0.0327,0.0093,0.0063,0.0825,0.0859,0.0021,0.0442,0.0394,0.0564
0.0416,1971-04-01,-0.0236,-0.0283,-0.0327,0.0028,-0.0364,0.0413,-0.061,0.0778,0.0518,0.1107,0.0211,-0.0025,0.0389,0.0247
0.044000000000000004,1971-05-01,-0.0161,-0.0006,0.0011,0.0029,-0.0281,0.0275,0.0474,0.0826,-0.0071,0.0368,0.0287,-0.0272,-0.0391,-0.0605
0.0464,1971-06-01,0.0107,-0.0159,-0.0187,0.0037,0.0092,0.0082,0.002,0.2143,0.0957,0.0171,-0.0181,-0.006,0.0033,-0.0319
0.0436,1971-07-01,-0.0025,0.003,0.0027,0.004,-0.04,0.0451,0.0519,-0.0106,0.0048,0.0671,0.0574,0.002,-0.0387,-0.0563
0.0462,1971-08-01,0.0554,0.0471,0.035,0.0047,-0.0341,-0.0012,-0.019,0.1864,-0.0661,0.0137,-0.0413,0.0396,0.0388,0.0583
0.0408,1971-09-01,-0.0102,0.0204,0.0026,0.0037,-0.0988,-0.0199,-0.011000000000000001,0.0583,0.0331,0.001,0.048,-0.0087,-0.0044,-0.0226
0.0381,1971-10-01,0.0282,0.0167,0.022000000000000002,0.0037,0.0045,-0.0334,-0.0756,-0.0264,-0.0393,-0.026000000000000002,-0.0061,-0.048,-0.0392,-0.0551
0.0351,1972-02-01,0.0107,0.0088,0.0014,0.0025,0.1024,0.0543,0.0839,0.0368,0.0912,0.0612,0.0223,0.0337,0.0277,0.0296
0.0367,1972-11-01,0.0249,0.0226,0.0045,0.0037,0.0318,0.0268,0.0147,0.0529,0.17800000000000002,0.0704,-0.0123,0.047,0.0481,0.0592
0.0365,1973-01-01,-0.0054,-0.0321,-0.0006,0.0044,0.0332,0.0044,0.0635,0.1698,0.0168,-0.0639,0.0169,-0.0016,-0.0149,-0.0432
0.0387,1973-02-01,0.0023,0.0014,-0.0075,0.0042,0.0113,0.0695,0.0867,0.8783,0.084,0.0138,0.2879,-0.0212,-0.0352,-0.0799
0.0459,1973-03-01,0.0045,0.0082,0.0046,0.0046,-0.0015,0.027999999999999997,0.0556,-0.2101,0.0026,-0.0012,0.0588,0.0023,0.0008,-0.0208
0.0506,1973-04-01,0.0061,0.0046,0.0064,0.0052,-0.0628,0.0052,-0.0529,-0.4217,-0.1108,0.0117,0.008,-0.0429,-0.0383,-0.0621
0.0553,1973-05-01,-0.0039,-0.0105,0.0057,0.0051,0.0834,0.0144,-0.059000000000000004,0.0207,0.0258,0.0312,0.2649,-0.0389,-0.0163,-0.0811
0.06,1973-06-01,-0.0056,-0.0021,-0.0006,0.0051,-0.0243,0.0383,0.1111,-0.1517,0.0176,-0.0047,0.0741,0.0208,-0.004,-0.028999999999999998
0.0573,1973-07-01,-0.0476,-0.0433,-0.0276,0.0064,0.0189,-0.0534,-0.035,0.1064,0.0606,-0.0736,-0.0621,0.0555,0.0407,0.1194
0.0738,1973-08-01,0.0356,0.0391,0.0254,0.006999999999999999,-0.1095,-0.0424,-0.0351,-0.142,-0.0474,-0.0554,-0.1047,-0.0024,-0.0341,-0.0445
0.0736,1973-09-01,0.0356,0.0318,0.025,0.0068,-0.0311,0.0211,0.004,-0.1023,-0.0539,0.0157,-0.0338,0.0335,0.0427,0.1064
0.078,1973-10-01,-0.0066,0.0215,0.005,0.0065,0.0586,0.0262,0.0589,0.1542,-0.0051,0.0355,-0.02,0.0742,0.0017,0.0084
0.0825,1973-11-01,0.0078,-0.0183,0.0064,0.0056,-0.0852,-0.1514,-0.1704,-0.1515,-0.1375,-0.149,0.0306,-0.0963,-0.1109,-0.1962
0.0871,1973-12-01,-0.0089,-0.0082,0.004,0.0064,-0.0118,-0.0318,-0.0467,-0.163,-0.0552,-0.0547,0.1114,-0.0076,0.0198,-0.0014
0.0939,1974-01-01,-0.0053,-0.0083,0.0009,0.0063,0.1311,-0.0016,0.0489,0.0561,-0.0055,-0.0423,0.1804,0.0317,-0.0072,0.1326
0.1002,1974-02-01,0.0009,-0.0024,0.0035,0.0058,0.0924,0.0308,-0.0303,-0.1493,0.0406,0.0694,0.2264,0.0389,-0.0007,-0.0085
0.1039,1974-03-01,-0.0307,-0.0292,-0.0212,0.0056,-0.0618,-0.0407,0.0551,-0.1144,0.0169,-0.1604,0.0646,-0.0231,-0.0205,-0.0074
0.1009,1974-04-01,-0.0341,-0.0253,-0.0152,0.0075,-0.0373,0.0429,0.0793,-0.1001,0.0149,0.0805,-0.0217,-0.071,-0.0359,-0.0464
0.1071,1974-05-01,0.0105,0.0123,0.013000000000000001,0.0075,-0.1458,-0.0777,-0.0614,0.3193,0.036000000000000004,-0.1016,-0.0739,-0.0773,-0.0302,-0.0793
0.1086,1974-06-01,-0.0285,0.0045,-0.0087,0.006,-0.0608,-0.0517,-0.0351,-0.0018,-0.0353,-0.0951,-0.0797,-0.0344,-0.0113,-0.0147
0.1151,1974-07-01,-0.0211,-0.0029,0.0007,0.006999999999999999,-0.1564,-0.0109,-0.0202,-0.1581,-0.0995,-0.0637,0.0815,0.0164,-0.0742,-0.0219
0.1086,1974-08-01,-0.0268,-0.0232,-0.0012,0.006,-0.0196,-0.1031,-0.0218,-0.2252,-0.1101,-0.1458,0.0,-0.0981,-0.0864,-0.0681
0.1195,1974-09-01,0.0174,0.0247,0.0319,0.0081,-0.2936,-0.0972,-0.0445,-0.1805,0.0108,-0.1172,-0.0304,-0.1018,-0.1152,-0.0653
0.1206,1974-10-01,0.0885,0.0489,0.0109,0.0051,0.2528,0.044000000000000004,0.0584,0.0678,-0.0834,0.0371,0.1041,0.1096,0.1681,0.1063
0.122,1974-11-01,0.0117,0.0296,0.0236,0.0054,0.0411,0.0013,0.0954,-0.2015,0.1037,-0.1532,0.1018,-0.0859,-0.0488,-0.0438
0.1234,1974-12-01,-0.0075,0.0171,0.0185,0.006999999999999999,-0.0396,0.0072,0.0402,-0.0023,-0.0407,0.0229,0.0136,0.0068,-0.0156,-0.0788
0.11800000000000001,1975-01-01,0.0596,0.0225,0.0053,0.0058,0.2302,0.2348,0.1292,0.3453,0.0504,0.5605,-0.0574,0.1558,0.1272,0.2767
0.1123,1975-02-01,0.0137,0.0131,0.0148,0.0043,0.0187,0.1315,0.1354,0.1442,0.1458,0.2667,0.0338,0.0273,0.0638,0.0285
0.1025,1975-03-01,-0.0247,-0.0267,-0.0059,0.0041,-0.0187,-0.0314,-0.0123,0.0575,0.0249,-0.0832,-0.0248,-0.0285,0.0254,0.0618
0.1021,1975-04-01,-0.0052,-0.0182,-0.0186,0.0044,-0.0171,0.0717,0.0182,0.1309,0.0025,0.1548,-0.0578,0.0151,0.051,0.0531
0.0947,1975-05-01,0.0106,0.0212,0.026000000000000002,0.0044,0.1021,-0.0156,-0.0589,-0.0069,-0.005,0.0332,0.0,0.021,0.0477,0.0663
0.0939,1975-06-01,0.0304,0.0292,0.0027,0.0041,-0.0288,-0.0639,0.0041,0.0038,0.011000000000000001,-0.1562,-0.0045,0.0251,0.0477,0.075
0.0972,1975-07-01,-0.003,-0.0087,-0.003,0.0048,-0.02,-0.0379,-0.0058,-0.063,-0.051,-0.0456,0.0027,-0.0082,-0.0644,-0.0254
0.086,1975-08-01,-0.0175,-0.0068,-0.0009,0.0048,-0.0347,0.0214,-0.0495,-0.0197,-0.0444,0.1298,-0.0414,-0.0086,-0.0176,-0.0574
0.0791,1975-09-01,-0.0126,-0.0098,0.001,0.0053,0.0679,-0.0492,-0.0441,0.0272,-0.0633,-0.0138,-0.1161,-0.0488,-0.0312,-0.0182
0.0744,1975-10-01,0.0553,0.0475,0.0366,0.0056,0.0292,0.0805,0.1277,0.0253,0.1077,0.0584,0.0117,-0.0433,0.0653,-0.005
0.0738,1975-11-01,-0.0088,-0.0109,-0.001,0.0041,0.0683,0.0262,0.0242,0.0644,0.0085,-0.0185,-0.0332,0.0806,0.0282,0.032
0.0694,1975-12-01,0.0442,0.039,0.0198,0.0048,0.0311,0.0215,0.0125,0.1097,0.0112,0.0471,0.0152,-0.0342,-0.0081,-0.0197
0.0672,1976-01-01,0.0188,0.009000000000000001,0.0057,0.0047,0.0172,0.0436,0.0225,0.2004,0.0615,0.0981,-0.0863,0.1086,0.1217,0.2684
0.0629,1976-02-01,0.0061,0.0062,0.0084,0.0034,0.0166,-0.0196,0.0169,0.0697,0.0069,-0.0326,0.0324,0.0542,-0.0084,0.139
0.0607,1976-03-01,0.0167,0.0166,0.0075,0.004,-0.0233,-0.0267,0.0392,0.0445,-0.0004,-0.0602,-0.0204,-0.0125,0.0337,-0.0015
0.0605,1976-04-01,-0.0015,0.0018,0.0116,0.0042,0.0235,-0.012,-0.0597,-0.0654,0.0064,0.0004,-0.0093,0.0178,-0.0078,-0.0359
0.062,1976-05-01,-0.0103,-0.0158,-0.0145,0.0037,0.0103,-0.0461,-0.0303,-0.0506,0.0055,-0.1045,-0.0226,0.0069,-0.0111,-0.0361
0.0597,1976-06-01,0.015,0.0208,0.0159,0.0043,0.0134,-0.0021,0.016,0.0294,0.0499,0.0011,-0.0135,-0.006,0.0443,0.0459
0.0535,1976-07-01,0.0149,0.0078,0.0119,0.0047,0.1021,-0.0181,-0.0087,-0.0224,-0.0186,-0.0327,-0.0913,-0.0139,-0.0048,0.0045
0.0571,1976-08-01,0.0231,0.0211,0.0189,0.0042,-0.0028,-0.0209,0.0023,0.0285,0.035,-0.0496,-0.0756,-0.0086,-0.0018,-0.028999999999999998
0.0549,1976-09-01,0.0167,0.0145,0.0076,0.0044,-0.0806,-0.0267,0.0477,-0.0072,0.0053,-0.1144,0.1154,-0.0118,0.0258,0.0104
0.0546,1976-10-01,0.006999999999999999,0.0084,0.0147,0.0041,-0.0599,-0.0735,-0.0614,-0.0455,-0.0524,-0.1315,0.0616,-0.036000000000000004,-0.0186,-0.0209
0.0488,1976-11-01,0.0319,0.0339,0.0321,0.004,-0.21,0.0446,0.054000000000000006,0.0512,-0.0112,0.1031,0.0577,-0.1247,-0.0041,0.0404
0.0486,1976-12-01,0.0347,0.0327,0.0026,0.004,0.1157,0.0871,0.0261,0.1419,0.1523,0.2242,0.0326,0.1387,0.0561,0.11800000000000001
0.0522,1977-01-01,-0.0303,-0.0388,-0.019,0.0036,0.0177,0.006999999999999999,-0.0177,-0.0322,-0.0299,0.0953,-0.0164,-0.0293,-0.0473,0.045
0.0591,1977-02-01,-0.002,-0.0049,0.0048,0.0035,-0.0301,0.0092,-0.0154,-0.0202,0.0512,0.0237,0.079,-0.008,-0.0182,-0.0039
0.0644,1977-03-01,0.0094,0.0091,0.0055,0.0038,0.0592,0.0076,0.0336,-0.0285,-0.0097,0.0328,0.0431,0.0079,-0.0105,0.0131
0.0695,1977-04-01,0.01,0.0071,0.0051,0.0038,-0.0113,0.0371,0.085,0.0546,0.0184,0.034,-0.0111,-0.0224,0.0042,0.0228
0.0673,1977-05-01,0.0106,0.0125,0.0056,0.0037,0.0451,-0.0067,-0.0207,-0.0276,-0.0063,0.0253,-0.0292,-0.0179,-0.0196,-0.0028
0.0687,1977-06-01,0.0175,0.0164,0.0102,0.004,-0.0032,0.0127,-0.0193,0.0094,0.0394,0.0309,0.0003,0.0421,0.0494,0.0772
0.0683,1977-07-01,-0.0005,-0.006999999999999999,0.0001,0.0042,-0.0547,-0.015,0.0338,-0.045,-0.012,-0.0155,0.0077,-0.0037,-0.0124,0.003
0.0662,1977-08-01,0.0136,0.0198,0.0008,0.0044,-0.0485,0.045,0.0057,0.0247,0.0528,0.1188,0.0132,-0.0414,-0.0172,-0.0107
0.066,1977-09-01,-0.0022,-0.0029,0.0015,0.0043,-0.0005,0.0432,0.0189,-0.0284,0.0142,0.0836,0.0551,0.0051,0.0016,0.0092
0.0639,1977-10-01,-0.0038,-0.0093,-0.006,0.0049,0.07400000000000001,0.0254,0.0547,-0.0074,0.0195,0.0166,0.0484,-0.0681,-0.039,-0.033
0.0672,1977-11-01,0.0061,0.0093,0.0079,0.005,-0.027000000000000003,-0.0166,0.0197,0.006999999999999999,0.0028,-0.0527,-0.009000000000000001,0.0586,0.0316,0.1086
0.067,1977-12-01,-0.0105,-0.0168,-0.0023,0.0049,0.0901,0.0539,0.0494,-0.0269,0.0071,0.0664,0.0306,0.0592,0.0075,0.0081
0.0684,1978-01-01,-0.0089,-0.008,0.0013,0.0049,-0.0481,-0.0013,0.0124,0.0043,0.0421,-0.027000000000000003,0.0655,-0.0727,-0.0574,-0.0189
0.0643,1978-02-01,0.0051,0.0004,0.0017,0.0046,-0.055,-0.0023,0.04,0.0145,0.0379,-0.0545,0.037000000000000005,-0.0023,-0.0203,0.0347
0.0655,1978-03-01,0.0042,-0.0021,0.0037,0.0053,0.0567,0.0346,0.0036,0.0949,0.1294,0.0264,-0.0036,0.0451,0.0294,0.1032
0.065,1978-04-01,-0.0023,-0.0005,0.0024,0.0054,0.064,-0.0149,-0.0515,0.0039,-0.0064,-0.0024,-0.0592,0.0187,0.0902,0.0788
0.0697,1978-05-01,-0.0108,-0.0058,-0.0002,0.0051,0.0487,0.0246,0.0065,0.0182,0.0091,0.0415,0.0778,0.0567,0.0092,0.08199999999999999
0.0741,1978-06-01,0.0023,-0.0062,-0.0021,0.0054,-0.003,0.0077,0.0288,0.2161,0.0939,-0.0118,-0.006,-0.0059,-0.0138,-0.0189
0.077,1978-07-01,0.0101,0.0143,0.0098,0.0056,0.0666,0.0755,0.054000000000000006,0.0506,0.1042,0.10300000000000001,0.094,0.0559,0.0583,0.0684
0.0784,1978-08-01,0.0257,0.0218,0.0079,0.0056,0.063,0.0348,0.0435,0.1706,-0.015,0.0273,0.0422,0.0198,0.0301,0.0939
0.0831,1978-09-01,-0.0048,-0.0106,0.0057,0.0062,0.0419,0.040999999999999995,0.0561,-0.0657,0.0221,0.013000000000000001,0.0402,0.0354,-0.0032,-0.0032
0.0893,1978-10-01,-0.0205,-0.02,-0.0112,0.0068,-0.0443,0.047,0.1009,0.0489,0.0776,0.0273,0.1175,-0.0454,-0.0872,-0.2427
0.0889,1978-11-01,0.0134,0.0189,0.0092,0.006999999999999999,-0.052000000000000005,-0.0876,-0.1149,-0.2847,-0.0923,-0.048,-0.2028,0.057999999999999996,0.0215,0.0732
0.0902,1978-12-01,-0.0133,-0.013000000000000001,0.0063,0.0078,0.0621,0.0504,0.0577,-0.0147,0.0486,0.0318,0.1686,0.0283,0.0196,0.0168
0.0928,1979-01-01,0.0184,0.0191,0.0055,0.0077,0.0404,0.0045,-0.016,0.1178,-0.0035,-0.0062,0.0341,0.0233,0.0443,0.1321
0.0986,1979-02-01,-0.0128,-0.0135,-0.0059,0.0073,0.0327,0.0179,-0.0221,-0.0413,-0.0385,0.086,0.0753,0.0238,-0.0321,-0.0282
0.1009,1979-03-01,0.0107,0.0129,0.0112,0.0081,0.0121,0.0641,-0.0216,-0.0034,-0.0356,0.1514,-0.0446,0.10099999999999999,0.0596,0.11199999999999999
0.1049,1979-04-01,-0.0052,-0.0112,0.0033,0.008,-0.0342,0.0134,-0.0173,-0.0041,-0.0311,0.0489,0.0217,0.0277,0.0063,0.0387
0.1085,1979-05-01,0.0228,0.0261,0.0193,0.0082,0.0307,-0.0504,-0.0513,0.0363,0.0151,-0.0704,0.1194,0.0265,-0.0217,0.0035
0.1089,1979-06-01,0.0269,0.0311,0.0205,0.0081,-0.013999999999999999,0.0291,0.0076,-0.0453,0.0066,0.0046,0.0106,0.0696,0.0435,0.0472
0.1126,1979-07-01,-0.0031,-0.0085,-0.0011,0.0077,0.0312,0.0148,0.044000000000000004,0.1164,-0.0029,0.0086,0.0683,-0.0473,0.0134,0.0171
0.1182,1979-08-01,0.0006,-0.0035,-0.0091,0.0077,0.1204,0.03,0.0199,-0.0154,0.0037,0.0249,0.0629,0.1017,0.0577,0.0756
0.1218,1979-09-01,-0.0179,-0.0122,0.0006,0.0083,0.0692,0.0504,0.05,0.2019,0.0189,0.0182,0.2607,0.0649,0.0043,-0.0344
0.1207,1979-10-01,-0.08900000000000001,-0.0841,-0.0468,0.0087,-0.0142,-0.0901,-0.0833,-0.0095,-0.0776,-0.1039,-0.0384,-0.10300000000000001,-0.064,-0.1154
0.1261,1979-11-01,0.0222,0.0311,0.0363,0.0099,-0.027000000000000003,0.0411,0.0541,0.1314,-0.0401,0.0435,0.0881,0.08900000000000001,0.0475,0.0858
0.1329,1979-12-01,-0.0108,0.0057,0.0087,0.0095,0.1227,0.0022,-0.0049,0.1728,0.063,-0.0016,0.2318,0.0648,0.0214,0.0588
0.1391,1980-01-01,-0.0645,-0.0741,-0.0135,0.008,0.2068,0.0492,-0.0064,0.0502,0.0198,0.1067,0.2754,0.1462,0.0622,0.0836
0.1418,1980-02-01,-0.0665,-0.0467,-0.0641,0.0089,0.0259,0.0118,0.0049,-0.0043,-0.0391,0.0574,-0.0245,0.1333,-0.0001,-0.0284
0.1476,1980-03-01,-0.0062,-0.0315,0.0143,0.0121,-0.1819,-0.1432,-0.1548,-0.1762,-0.0282,-0.1329,-0.2237,-0.2204,-0.0972,-0.1778
0.1473,1980-04-01,0.1376,0.1523,0.1198,0.0126,0.0699,0.1009,0.115,0.1524,0.0814,0.0804,0.0475,0.034,0.0462,0.0694
0.1441,1980-05-01,0.055999999999999994,0.0419,0.049,0.0081,0.1403,0.026000000000000002,0.0361,0.0329,0.0594,0.0086,0.0338,0.0868,0.0515,0.075
0.1438,1980-06-01,0.0341,0.0359,-0.0077,0.0061,0.0747,0.0709,0.0392,0.1792,0.0388,0.1259,0.2204,0.0727,0.0316,0.0452
0.1313,1980-07-01,-0.0429,-0.0476,-0.0106,0.0053,-0.0008,0.0145,0.0064,0.1104,-0.0498,0.028999999999999998,-0.0601,0.0409,0.0696,0.1323
0.1287,1980-08-01,-0.0445,-0.0432,-0.0387,0.0064,0.0575,0.008,-0.0242,0.0642,0.0663,0.0237,0.0277,0.0165,0.0101,0.0604
0.126,1980-09-01,-0.0237,-0.0262,-0.0038,0.0075,0.0591,0.0158,-0.0088,-0.0165,0.0656,0.0281,0.0562,-0.0063,0.0294,0.0418
0.1277,1980-10-01,-0.0159,-0.0263,-0.0152,0.0095,0.066,0.0346,-0.0735,0.243,0.0241,0.0869,-0.0566,-0.0293,0.0202,0.0333
0.1265,1980-11-01,0.0017,0.01,0.0029,0.0096,-0.0273,-0.0131,0.0057,-0.0453,-0.0323,-0.019,-0.0147,0.04,0.1065,0.0766
0.1252,1980-12-01,0.0248,0.0352,0.0171,0.0131,-0.0088,-0.040999999999999995,-0.0421,0.0308,0.07,-0.0457,-0.0484,-0.057999999999999996,-0.0302,-0.0338
0.1183,1981-01-01,-0.013000000000000001,-0.0115,0.0032,0.0104,-0.1048,-0.0392,-0.0915,0.0446,0.0195,-0.0065,-0.1412,-0.0092,-0.0418,0.0207
0.1141,1981-02-01,-0.0269,-0.0436,-0.0235,0.0107,-0.040999999999999995,-0.0099,-0.0072,-0.0732,-0.0145,-0.0329,-0.0346,-0.0223,0.0174,0.0094
0.1049,1981-03-01,0.0311,0.0384,0.0263,0.0121,0.1045,0.0188,0.0469,-0.0825,0.0597,0.0132,0.0506,0.0768,0.04,0.0943
0.1,1981-04-01,-0.0769,-0.0518,-0.0216,0.0108,-0.0116,-0.0108,-0.0055,0.0347,0.0726,0.0248,-0.0603,-0.0211,-0.0193,0.0657
0.0978,1981-05-01,0.0595,0.0622,0.0245,0.0115,-0.0081,-0.0806,-0.0759,0.1708,-0.0258,-0.0809,-0.0073,0.0359,0.0026,0.0422
0.0955,1981-06-01,0.0023,-0.0179,0.006,0.0135,-0.0164,-0.0241,0.0361,0.0183,0.0351,-0.0416,-0.1111,0.0,-0.0063,0.0076
0.1076,1981-07-01,-0.0372,-0.0353,-0.027000000000000003,0.0124,-0.1113,-0.0287,-0.0256,-0.0607,-0.037000000000000005,-0.0363,-0.0469,-0.0674,0.0021,-0.0316
0.10800000000000001,1981-08-01,-0.0345,-0.0386,-0.0178,0.0128,0.006,0.0278,-0.0148,-0.06,0.0386,0.0433,0.0468,0.0023,-0.0577,-0.0684
0.1095,1981-09-01,-0.0199,-0.0145,0.0164,0.0124,-0.0933,-0.0945,-0.0079,-0.2744,-0.0946,-0.18,0.0088,-0.1454,-0.0493,-0.0733
0.1014,1981-10-01,0.0521,0.0829,0.0611,0.0121,-0.0592,0.039,0.0301,0.0508,-0.0011,0.0554,-0.0041,-0.025,0.054000000000000006,0.0742
0.0959,1981-11-01,0.1267,0.141,0.0624,0.0107,0.0963,0.1216,0.0563,0.1771,0.0909,0.1921,-0.0293,0.1321,0.0413,0.0276
